"year","location","cause","sex","all.mx","dis.mx","bg.mx","bg.mx.all","prev.rate","age","iso3","Nx","IR","CF"
2009,"Saudi Arabia","Breast cancer","Female",0.00242663357567077,0,0.00242663357567077,0.00242663357567077,0,2,"SAU",233365.314698251,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00198348591729294,0,0.00198348591729294,0.00198348591729294,0,3,"SAU",232246.305406012,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00154033825891512,0,0.00154033825891512,0.00154033825891512,0,4,"SAU",231399.397892936,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00109719060053729,0,0.00109719060053729,0.00109719060053729,0,5,"SAU",231641.113774236,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000654042942159464,0,0.000654042942159464,0.000654042942159464,0,6,"SAU",232869.569416133,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000210895283781638,0,0.000210895283781638,0.000210895283781638,0,7,"SAU",235368.69457867,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000216635525298115,0,0.000216635525298115,0.000216635525298115,0,8,"SAU",238869.161644507,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000222375766814592,0,0.000222375766814592,0.000222375766814592,0,9,"SAU",243028.556288062,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000228116008331069,0,0.000228116008331069,0.000228116008331069,0,10,"SAU",246481.197575717,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000233856249847546,0,0.000233856249847546,0.000233856249847546,0,11,"SAU",249019.670293599,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000239596491364022,0,0.000239596491364022,0.000239596491364022,0,12,"SAU",250546.810430831,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000298071119369453,6.37369322562965e-08,0.000298007382437197,0.000298007382437197,3.77536853575125e-06,13,"SAU",251265.115805012,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000356545747374884,1.27473864512593e-07,0.000356418273510372,0.000356418273510372,7.5507370715025e-06,14,"SAU",251750.07959235,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000415020375380315,1.9121079676889e-07,0.000414829164583546,0.000414829164583546,1.13261056072537e-05,15,"SAU",250572.570951323,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000473495003385746,2.54947729025186e-07,0.000473240055656721,0.000473240055656721,1.5101474143005e-05,16,"SAU",250173.39846922,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000531969631391177,3.18684661281483e-07,0.000531650946729896,0.000531650946729896,1.88768426787562e-05,17,"SAU",251082.516098282,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00058346394742089,5.68132441365856e-07,0.000582895814979524,0.000582895814979524,3.17563861641331e-05,18,"SAU",254351.738691311,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000634958263450603,8.1758022145023e-07,0.000634140683229153,0.000634140683229153,4.463592964951e-05,19,"SAU",259802.0773081,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000686452579480316,1.0670280015346e-06,0.000685385551478781,0.000685385551478781,5.75154731348869e-05,20,"SAU",262465.49990965,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000737946895510029,1.31647578161898e-06,0.00073663041972841,0.00073663041972841,7.03950166202638e-05,21,"SAU",263934.304007214,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000789441211539742,1.56592356170335e-06,0.000787875287978038,0.000787875287978038,8.32745601056406e-05,22,"SAU",264195.33123201,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000838441883576089,2.73879045637231e-06,0.000835703093119717,0.000835703093119717,0.0001368827870044,23,"SAU",262554.999819041,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000887442555612436,3.91165735104127e-06,0.000883530898261395,0.000883530898261395,0.00019049101390316,24,"SAU",259048.408318498,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000936443227648783,5.08452424571023e-06,0.000931358703403073,0.000931358703403073,0.000244099240801919,25,"SAU",253336.02066766,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.000985443899685131,6.2573911403792e-06,0.000979186508544751,0.000979186508544751,0.000297707467700678,26,"SAU",248034.803170321,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00103444457172148,7.43025803504816e-06,0.00102701431368643,0.00102701431368643,0.000351315694599438,27,"SAU",243369.479207764,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00110898710540325,1.25793925365996e-05,0.00109640771286665,0.00109640771286665,0.00053037275944578,28,"SAU",239158.338795506,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00118352963908503,1.77285270381511e-05,0.00116580111204688,0.00116580111204688,0.000709429824292122,29,"SAU",235538.289721254,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.0012580721727668,2.28776615397026e-05,0.0012351945112271,0.0012351945112271,0.000888486889138464,30,"SAU",230590.064832557,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00133261470644858,2.8026796041254e-05,0.00130458791040733,0.00130458791040733,0.00106754395398481,31,"SAU",226159.841712514,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00140715724013036,3.31759305428055e-05,0.00137398130958755,0.00137398130958755,0.00124660101883115,32,"SAU",222089.488143723,0,0
2009,"Saudi Arabia","Breast cancer","Female",0.00154272128645947,4.26835655625693e-05,0.0015000377208969,0.0015000377208969,0.00151427745393067,33,"SAU",217006.92505117,0,0
