measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Saudi Arabia,Male,95+ years,Ischemic stroke,Number,2019,11.524522319941322,17.42442718415117,7.081106093253368
YLDs (Years Lived with Disability),Saudi Arabia,Female,95+ years,Ischemic stroke,Number,2019,22.01258049523159,33.122282223649535,13.827142165229487
YLDs (Years Lived with Disability),Saudi Arabia,Male,80-84,Diabetes mellitus type 2,Number,2019,1201.1904260640454,1653.1812291650713,821.912343452012
YLDs (Years Lived with Disability),Saudi Arabia,Female,80-84,Diabetes mellitus type 2,Number,2019,833.4111584358951,1152.2199948836558,563.1876127395159
YLDs (Years Lived with Disability),Saudi Arabia,Male,85-89,Diabetes mellitus type 2,Number,2019,503.6705220447958,695.582174146369,345.9396622476588
YLDs (Years Lived with Disability),Saudi Arabia,Female,85-89,Diabetes mellitus type 2,Number,2019,473.82329568412797,661.4075892921229,325.3553599730798
YLDs (Years Lived with Disability),Saudi Arabia,Male,90-94,Diabetes mellitus type 2,Number,2019,219.0121501163727,309.7723835751788,148.27081907888177
YLDs (Years Lived with Disability),Saudi Arabia,Female,90-94,Diabetes mellitus type 2,Number,2019,226.55352324853982,317.06079270511526,152.7349698326411
YLDs (Years Lived with Disability),Saudi Arabia,Male,95+ years,Diabetes mellitus type 2,Number,2019,45.931708281592506,65.35891913083408,29.950304602859585
YLDs (Years Lived with Disability),Saudi Arabia,Female,95+ years,Diabetes mellitus type 2,Number,2019,41.25213658020411,59.008081007110285,27.20020952027011
YLDs (Years Lived with Disability),Saudi Arabia,Male,65-69 years,Colon and rectum cancer,Number,2019,107.36887452764034,173.54923236058582,57.05960279391928
YLDs (Years Lived with Disability),Saudi Arabia,Female,65-69 years,Colon and rectum cancer,Number,2019,36.31197628947549,61.25576384818157,18.451550423787552
YLDs (Years Lived with Disability),Saudi Arabia,Male,70-74 years,Colon and rectum cancer,Number,2019,61.82668299335614,101.93687948706356,33.16537972223472
YLDs (Years Lived with Disability),Saudi Arabia,Female,70-74 years,Colon and rectum cancer,Number,2019,25.299275034868778,42.81403717193881,12.670414561476948
YLDs (Years Lived with Disability),Saudi Arabia,Male,75-79 years,Colon and rectum cancer,Number,2019,33.41638082073188,53.62283870420103,17.649949186509637
YLDs (Years Lived with Disability),Saudi Arabia,Female,75-79 years,Colon and rectum cancer,Number,2019,15.531189779029999,24.483009746599276,8.226097387673281
YLDs (Years Lived with Disability),Saudi Arabia,Male,80-84,Colon and rectum cancer,Number,2019,15.006794833308593,23.466132595159213,8.587550284948573
YLDs (Years Lived with Disability),Saudi Arabia,Female,80-84,Colon and rectum cancer,Number,2019,9.961038957016425,16.30679799254472,5.367150006670449
YLDs (Years Lived with Disability),Saudi Arabia,Male,85-89,Colon and rectum cancer,Number,2019,6.050576911055045,9.645882621563167,3.120344183613716
YLDs (Years Lived with Disability),Saudi Arabia,Female,85-89,Colon and rectum cancer,Number,2019,5.828182837477791,9.620934415260441,3.1343619775586977
YLDs (Years Lived with Disability),Saudi Arabia,Male,90-94,Colon and rectum cancer,Number,2019,2.1475792081124245,3.516473935023963,1.1176527785865122
YLDs (Years Lived with Disability),Saudi Arabia,Female,90-94,Colon and rectum cancer,Number,2019,2.360238158208703,3.9782320421337856,1.206593230312666
