measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Saudi Arabia,Male,95+ years,Ischemic stroke,Number,2009,42.701261719447686,54.27861865886354,27.97030527149818
Deaths,Saudi Arabia,Female,95+ years,Ischemic stroke,Number,2009,53.47021520403114,67.12136697404513,36.636392624044696
Deaths,Saudi Arabia,Male,95+ years,Ischemic stroke,Rate,2009,4558.5674425747275,5794.506623056893,2985.966171380323
Deaths,Saudi Arabia,Female,95+ years,Ischemic stroke,Rate,2009,5574.090480677468,6997.17723731694,3819.2209736357
Deaths,Saudi Arabia,Male,<5 years,All causes,Number,2009,3277.457821230734,4281.907693778144,2372.249816568149
Deaths,Saudi Arabia,Female,<5 years,All causes,Number,2009,2833.107437429445,3578.487650806382,2121.0783116240896
Deaths,Saudi Arabia,Male,<5 years,All causes,Rate,2009,263.33199236437895,344.03594054478094,190.60177267158372
Deaths,Saudi Arabia,Female,<5 years,All causes,Rate,2009,242.66335756707699,306.50720014518487,181.67612634853592
Deaths,Saudi Arabia,Male,5-9 years,All causes,Number,2009,350.11318214632485,408.4469784984047,296.1013879228871
Deaths,Saudi Arabia,Female,5-9 years,All causes,Number,2009,249.23121596463034,280.2036461206052,219.8499551355361
Deaths,Saudi Arabia,Male,5-9 years,All causes,Rate,2009,27.20610766364862,31.739029087100665,23.009034363690603
Deaths,Saudi Arabia,Female,5-9 years,All causes,Rate,2009,21.08952837816381,23.710363582080724,18.603335259684805
Deaths,Saudi Arabia,Male,10-14 years,All causes,Number,2009,443.24551151576,497.94262760968314,387.7420608580614
Deaths,Saudi Arabia,Female,10-14 years,All causes,Number,2009,299.2710820309868,334.939309592152,270.70736449572024
Deaths,Saudi Arabia,Male,10-14 years,All causes,Rate,2009,32.748865950874155,36.79012181544845,28.6480346549541
Deaths,Saudi Arabia,Female,10-14 years,All causes,Rate,2009,23.959649136402245,26.815248186879145,21.67283730837064
Deaths,Saudi Arabia,Male,15-19 years,All causes,Number,2009,1440.8026815783103,1573.3089727952643,1312.4852214290945
Deaths,Saudi Arabia,Female,15-19 years,All causes,Number,2009,673.4641382864091,772.008090632446,604.1399238096283
Deaths,Saudi Arabia,Male,15-19 years,All causes,Rate,2009,99.78867149139886,108.96593561913336,90.90152195929637
Deaths,Saudi Arabia,Female,15-19 years,All causes,Rate,2009,53.196963139117706,60.980954449885424,47.72104026139313
Deaths,Saudi Arabia,Male,20-24 years,All causes,Number,2009,2551.3547243117278,3075.018059383516,2270.9201330920023
Deaths,Saudi Arabia,Female,20-24 years,All causes,Number,2009,1035.90360779271,1261.806977403545,899.3589940957721
Deaths,Saudi Arabia,Male,20-24 years,All causes,Rate,2009,160.5889930178008,193.5497439703001,142.9377004781154
Deaths,Saudi Arabia,Female,20-24 years,All causes,Rate,2009,78.94412115397417,96.15976056819409,68.53833199992128
Deaths,Saudi Arabia,Male,25-29 years,All causes,Number,2009,2887.346298120319,3698.5583108218802,2550.839580327273
Deaths,Saudi Arabia,Female,25-29 years,All causes,Number,2009,1261.439914411527,1519.3574787070654,1094.3752029348805
Deaths,Saudi Arabia,Male,25-29 years,All causes,Rate,2009,177.81330184668266,227.77069233013876,157.08999248011165
Deaths,Saudi Arabia,Female,25-29 years,All causes,Rate,2009,103.44445717214776,124.59500277396577,89.7443053108636
Deaths,Saudi Arabia,Male,30-34 years,All causes,Number,2009,3611.1950238162935,4725.1080387847305,3132.3215640099747
Deaths,Saudi Arabia,Female,30-34 years,All causes,Number,2009,1557.3770254468711,1848.011538880546,1360.7054835321387
Deaths,Saudi Arabia,Male,30-34 years,All causes,Rate,2009,212.5705830188872,278.1403286190389,184.382016665657
Deaths,Saudi Arabia,Female,30-34 years,All causes,Rate,2009,140.71572401303558,166.97580446417805,122.94560286632691
Deaths,Saudi Arabia,Male,35-39 years,All causes,Number,2009,4084.965712633719,5318.5227470914415,3488.9649219686294
Deaths,Saudi Arabia,Female,35-39 years,All causes,Number,2009,1916.9625990600834,2262.8993711177172,1663.971653395348
Deaths,Saudi Arabia,Male,35-39 years,All causes,Rate,2009,274.84932273589516,357.84691422809203,234.7485176892981
Deaths,Saudi Arabia,Female,35-39 years,All causes,Rate,2009,208.49774717759473,246.1234356888213,180.9812780230637
Deaths,Saudi Arabia,Male,40-44 years,All causes,Number,2009,4521.785202276394,5631.243959205143,3860.889388928914
Deaths,Saudi Arabia,Female,40-44 years,All causes,Number,2009,2222.9050091945287,2588.8029251950397,1930.0200405862413
Deaths,Saudi Arabia,Male,40-44 years,All causes,Rate,2009,403.3610208387431,502.32910462741467,344.4065154797344
Deaths,Saudi Arabia,Female,40-44 years,All causes,Rate,2009,321.9797816750047,374.9787765136882,279.55644920765957
Deaths,Saudi Arabia,Male,45-49 years,All causes,Number,2009,5338.374446415376,6191.773525065432,4622.786127285862
Deaths,Saudi Arabia,Female,45-49 years,All causes,Number,2009,2589.3865656862354,2958.087603458977,2269.939503384244
Deaths,Saudi Arabia,Male,45-49 years,All causes,Rate,2009,628.1905096667124,728.6138140915757,543.9840165820312
Deaths,Saudi Arabia,Female,45-49 years,All causes,Rate,2009,500.16720012825186,571.3856764233514,438.4626462937272
Deaths,Saudi Arabia,Male,50-54 years,All causes,Number,2009,5700.7768558924145,6297.190475883113,5044.557116873429
Deaths,Saudi Arabia,Female,50-54 years,All causes,Number,2009,2780.11656490253,3101.239437650243,2462.2895678603713
Deaths,Saudi Arabia,Male,50-54 years,All causes,Rate,2009,975.3406571794878,1077.3805136371673,863.0686269477869
Deaths,Saudi Arabia,Female,50-54 years,All causes,Rate,2009,765.6332338201283,854.0692176271833,678.1049212980033
Deaths,Saudi Arabia,Male,55-59 years,All causes,Number,2009,5990.769766421544,6422.9893780321945,5409.663301650466
Deaths,Saudi Arabia,Female,55-59 years,All causes,Number,2009,2920.916679215107,3203.869771785829,2613.0695460931483
Deaths,Saudi Arabia,Male,55-59 years,All causes,Rate,2009,1506.2791715347457,1614.9535863231563,1360.1696399625266
Deaths,Saudi Arabia,Female,55-59 years,All causes,Rate,2009,1159.2240523077494,1271.519631608895,1037.0487764129034
Deaths,Saudi Arabia,Male,60-64 years,All causes,Number,2009,5685.373584788078,6057.463971450298,5190.54434716797
Deaths,Saudi Arabia,Female,60-64 years,All causes,Number,2009,2929.3586705563666,3178.7219395961697,2658.409561292736
Deaths,Saudi Arabia,Male,60-64 years,All causes,Rate,2009,2264.961323640794,2413.196144470056,2067.829320210983
Deaths,Saudi Arabia,Female,60-64 years,All causes,Rate,2009,1713.8324900881182,1859.723424035729,1555.312677787957
Deaths,Saudi Arabia,Male,65-69 years,All causes,Number,2009,5608.787070858981,5915.684728059605,5201.530335322838
Deaths,Saudi Arabia,Female,65-69 years,All causes,Number,2009,2919.5110276712667,3145.06823957843,2671.2673571063506
Deaths,Saudi Arabia,Male,65-69 years,All causes,Rate,2009,3352.3792480986735,3535.8123726390745,3108.9613733226406
Deaths,Saudi Arabia,Female,65-69 years,All causes,Rate,2009,2512.96479452875,2707.1128307246895,2299.2894226320327
Deaths,Saudi Arabia,Male,70-74 years,All causes,Number,2009,4795.897909347785,5020.342172228084,4413.916374839589
Deaths,Saudi Arabia,Female,70-74 years,All causes,Number,2009,2803.110440122423,3016.172599565595,2580.244120536064
Deaths,Saudi Arabia,Male,70-74 years,All causes,Rate,2009,5025.756787434334,5260.958265633601,4625.467555674976
Deaths,Saudi Arabia,Female,70-74 years,All causes,Rate,2009,3864.3652344158945,4158.092513204741,3557.1219503110615
Deaths,Saudi Arabia,Male,75-79 years,All causes,Number,2009,3507.2395359943434,3654.485605099596,3236.7607133583333
Deaths,Saudi Arabia,Female,75-79 years,All causes,Number,2009,2568.116550119602,2780.325743686971,2363.404505417291
Deaths,Saudi Arabia,Male,75-79 years,All causes,Rate,2009,7553.625348302483,7870.752715457335,6971.088663860377
Deaths,Saudi Arabia,Female,75-79 years,All causes,Rate,2009,6015.290096644671,6512.346922365159,5535.793815564912
Deaths,Saudi Arabia,Male,80-84,All causes,Number,2009,3761.957539215392,3888.772339469859,3529.8849041782387
Deaths,Saudi Arabia,Female,80-84,All causes,Number,2009,3168.953271309381,3436.4283504030814,2952.1744425525085
Deaths,Saudi Arabia,Male,80-84,All causes,Rate,2009,11264.407116334167,11644.12791954687,10569.51340358798
Deaths,Saudi Arabia,Female,80-84,All causes,Rate,2009,9477.017749348768,10276.92417114087,8828.722671471822
Deaths,Saudi Arabia,Male,85-89,All causes,Number,2009,2277.746484776475,2341.240105690039,2185.1056146430733
Deaths,Saudi Arabia,Female,85-89,All causes,Number,2009,1907.21022575423,2050.680227255217,1778.603931754367
Deaths,Saudi Arabia,Male,85-89,All causes,Rate,2009,16708.881724478422,17174.652348731077,16029.295408680131
Deaths,Saudi Arabia,Female,85-89,All causes,Rate,2009,15352.987256702989,16507.91662684769,14317.71030283137
Deaths,Saudi Arabia,Male,90-94,All causes,Number,2009,1064.1231069811201,1088.7803198503564,1026.8249605928575
Deaths,Saudi Arabia,Female,90-94,All causes,Number,2009,918.8499562981287,976.6031571040539,868.2849661781804
Deaths,Saudi Arabia,Male,90-94,All causes,Rate,2009,23884.440127648144,24437.875835064297,23047.276327296142
Deaths,Saudi Arabia,Female,90-94,All causes,Rate,2009,22618.947672421556,24040.634225258735,21374.210315968412
Deaths,Saudi Arabia,Male,95+ years,All causes,Number,2009,323.5634120781714,328.5507611699633,314.78387177479294
Deaths,Saudi Arabia,Female,95+ years,All causes,Number,2009,323.28119832700366,336.1563607193325,311.93646436017923
Deaths,Saudi Arabia,Male,95+ years,All causes,Rate,2009,34541.96846919363,35074.39224964235,33604.70982679794
Deaths,Saudi Arabia,Female,95+ years,All causes,Rate,2009,33700.97994370339,35043.172412060034,32518.32950235031
Deaths,Saudi Arabia,Male,15-19 years,Ischemic heart disease,Number,2009,24.777270702921502,33.67453814178304,17.099678709981905
Deaths,Saudi Arabia,Female,15-19 years,Ischemic heart disease,Number,2009,23.094476153061184,32.058061375587855,15.90918498735259
Deaths,Saudi Arabia,Male,15-19 years,Ischemic heart disease,Rate,2009,1.7160510306094345,2.3322676083403233,1.1843080549583973
Deaths,Saudi Arabia,Female,15-19 years,Ischemic heart disease,Rate,2009,1.824233729441954,2.5322677368508293,1.2566672510566244
Deaths,Saudi Arabia,Male,20-24 years,Ischemic heart disease,Number,2009,46.76557914714514,65.62125293012282,32.732190302328
Deaths,Saudi Arabia,Female,20-24 years,Ischemic heart disease,Number,2009,41.8867466416962,59.011204578094755,29.148528052915072
Deaths,Saudi Arabia,Male,20-24 years,Ischemic heart disease,Rate,2009,2.9435488493903006,4.130374670444011,2.060250356341918
Deaths,Saudi Arabia,Female,20-24 years,Ischemic heart disease,Rate,2009,3.1921043393929156,4.497124682847208,2.2213504352712
Deaths,Saudi Arabia,Male,25-29 years,Ischemic heart disease,Number,2009,85.49796570265319,118.75606914155307,62.07436978876897
Deaths,Saudi Arabia,Female,25-29 years,Ischemic heart disease,Number,2009,58.79629895763208,81.21043035558101,41.15094874592212
Deaths,Saudi Arabia,Male,25-29 years,Ischemic heart disease,Rate,2009,5.265276143931968,7.313431292304435,3.82276578994995
Deaths,Saudi Arabia,Female,25-29 years,Ischemic heart disease,Rate,2009,4.821594084598905,6.659666297913697,3.37458606351983
