"sex","Scenario","Deaths.averted","Dalys.averted","GDP.percapita","Econ.benefit"
"Female","Ideal",43255.62781945,1162285.15177947,20110.32,53760030567.1275
"Male","Ideal",69877.2877155794,1693888.61458016,20110.32,78348676792.1964
"Female","Intervention",31618.4276358581,834626.06750321,20110.32,38604573785.0117
"Male","Intervention",48802.8089005533,1164565.24650631,20110.32,53865493466.6778
