"Scenario","Deaths.averted","Dalys.averted","GDP.percapita","Econ.benefit"
"Ideal",113132.915535029,2856173.76635963,20110.32,132108707359.324
"Intervention",80421.2365364113,1999191.31400952,20110.32,92470067251.6893
