"age.group","Scenario","Deaths.averted","Dalys.averted","GDP.percapita","Econ.benefit"
"40-69","Ideal",85697.5985951612,2402364.78676682,20110.32,111118346622.809
"70+","Ideal",25032.9546440195,328970.429576634,20110.32,15216111401.4442
"Under 40","Ideal",2402.36229584883,124838.550016178,20110.32,5774249335.07111
"40-69","Intervention",60553.5070403325,1676641.89748937,20110.32,77550951693.0123
"70+","Intervention",18201.8033598711,237823.345820252,20110.32,11000218252.2066
"Under 40","Intervention",1665.92613620791,84726.0706999064,20110.32,3918897306.47081
